step,train_loss,eval_loss,lr,gate_fft,gate_mem,time,train_loss
1,28.90757179,,0,0,0,Mon Apr 13 19:02:56 2026,3.613446474
2,29.18258286,,4.00E-07,0,0,Mon Apr 13 19:05:07 2026,3.647822857
3,29.11921501,,8.00E-07,0,0.000001,Mon Apr 13 19:07:18 2026,3.639901876
4,29.73483849,,1.20E-06,0.000001,0.000001,Mon Apr 13 19:09:34 2026,3.716854811
5,29.30718994,,1.60E-06,0.000002,0.000002,Mon Apr 13 19:11:50 2026,3.663398743
6,29.80576134,,2.00E-06,0.000003,0.000003,Mon Apr 13 19:14:03 2026,3.725720167
7,29.35677338,,2.40E-06,0.000004,0.000004,Mon Apr 13 19:16:17 2026,3.669596672
8,29.23210144,,2.80E-06,0.000006,0.000005,Mon Apr 13 19:18:30 2026,3.65401268
9,29.34872055,,3.20E-06,0.000007,0.000007,Mon Apr 13 19:20:46 2026,3.668590069
10,29.46999359,,3.60E-06,0.000009,0.000009,Mon Apr 13 19:23:05 2026,3.683749199
11,28.76787949,,4.00E-06,0.000011,0.000011,Mon Apr 13 19:25:24 2026,3.595984936
12,29.39639664,,4.40E-06,0.000013,0.000013,Mon Apr 13 19:27:39 2026,3.67454958
13,29.03313446,,4.80E-06,0.000016,0.000016,Mon Apr 13 19:29:52 2026,3.629141808
14,28.60687447,,5.20E-06,0.000019,0.000018,Mon Apr 13 19:32:06 2026,3.575859308
15,29.58647156,,5.60E-06,0.000022,0.000021,Mon Apr 13 19:34:23 2026,3.698308945
16,28.32581902,,6.00E-06,0.000024,0.000024,Mon Apr 13 19:36:39 2026,3.540727377
17,28.82707024,,6.40E-06,0.000027,0.000027,Mon Apr 13 19:38:54 2026,3.60338378
18,28.69498825,,6.80E-06,0.00003,0.000031,Mon Apr 13 19:41:08 2026,3.586873531
19,28.56655502,,7.20E-06,0.000032,0.000035,Mon Apr 13 19:43:25 2026,3.570819378
20,28.26181793,,7.60E-06,0.000035,0.000039,Mon Apr 13 19:45:40 2026,3.532727242
21,28.20480537,,8.00E-06,0.000038,0.000043,Mon Apr 13 19:47:59 2026,3.525600672
22,27.71920776,,8.40E-06,0.000041,0.000047,Mon Apr 13 19:50:17 2026,3.46490097
23,27.61797523,,8.80E-06,0.000044,0.000052,Mon Apr 13 19:52:32 2026,3.452246904
24,27.80887604,,9.20E-06,0.000047,0.000057,Mon Apr 13 19:54:46 2026,3.476109505
25,27.09055519,,9.60E-06,0.00005,0.000062,Mon Apr 13 19:57:04 2026,3.386319399
26,27.50580978,,1.00E-05,0.000053,0.000067,Mon Apr 13 19:59:24 2026,3.438226223
27,27.42643356,,1.04E-05,0.000056,0.000072,Mon Apr 13 20:01:44 2026,3.428304195
28,26.74465561,,1.08E-05,0.00006,0.000077,Mon Apr 13 20:04:04 2026,3.343081951
29,26.45405197,,1.12E-05,0.000063,0.000083,Tue Apr 14 18:25:46 2026,3.306756496
30,26.76813698,,1.16E-05,0.000065,0.000088,Tue Apr 14 18:27:26 2026,3.346017122
31,26.37298775,,1.20E-05,0.000067,0.000094,Tue Apr 14 18:29:07 2026,3.296623468
32,26.50519943,,1.24E-05,0.000069,0.000099,Tue Apr 14 18:30:49 2026,3.313149929
33,26.01370811,,1.28E-05,0.000069,0.000105,Tue Apr 14 18:32:31 2026,3.251713514
34,26.28860092,,1.32E-05,0.000069,0.00011,Tue Apr 14 18:34:13 2026,3.286075115
35,25.00533676,,1.36E-05,0.000068,0.000115,Tue Apr 14 18:35:55 2026,3.125667095
36,25.53463554,,1.40E-05,0.000068,0.000119,Tue Apr 14 18:37:37 2026,3.191829443
37,25.75255585,,1.44E-05,0.000068,0.000124,Tue Apr 14 18:39:20 2026,3.219069481
38,24.41500664,,1.48E-05,0.000068,0.000128,Tue Apr 14 18:41:04 2026,3.05187583
39,24.29814911,,1.52E-05,0.000068,0.000132,Tue Apr 14 18:42:46 2026,3.037268639
40,24.12576675,,1.56E-05,0.000067,0.000135,Tue Apr 14 18:44:29 2026,3.015720844
41,23.55602264,,1.60E-05,0.000067,0.000139,Tue Apr 14 18:46:12 2026,2.944502831
42,23.90473938,,1.64E-05,0.000066,0.000142,Tue Apr 14 18:47:56 2026,2.988092422
43,24.28272057,,1.68E-05,0.000066,0.000146,Tue Apr 14 18:49:41 2026,3.035340071
44,23.29458809,,1.72E-05,0.000067,0.000149,Tue Apr 14 18:51:25 2026,2.911823511
45,23.11791229,,1.76E-05,0.000067,0.000152,Tue Apr 14 18:53:10 2026,2.889739037
46,23.04436111,,1.80E-05,0.000068,0.000155,Tue Apr 14 18:54:57 2026,2.880545139
47,22.7584095,,1.84E-05,0.000068,0.000159,Tue Apr 14 18:58:46 2026,2.844801188
48,22.38316345,,1.88E-05,0.000068,0.000162,Tue Apr 14 19:02:09 2026,2.797895432
49,22.93772125,,1.92E-05,0.000069,0.000166,Tue Apr 14 19:05:39 2026,2.867215157
50,22.43356514,,1.96E-05,0.00007,0.000169,Tue Apr 14 19:08:53 2026,2.804195642
51,22.46344948,,2.00E-05,0.00007,0.000173,Tue Apr 14 19:12:25 2026,2.807931185
52,22.25862694,,2.04E-05,0.00007,0.000176,Tue Apr 14 19:15:41 2026,2.782328367
53,22.6228199,,2.08E-05,0.000069,0.000179,Tue Apr 14 19:19:09 2026,2.827852488
54,22.82635498,,2.12E-05,0.000069,0.000183,Tue Apr 14 19:22:26 2026,2.853294373
55,22.42105103,,2.16E-05,0.000069,0.000186,Tue Apr 14 19:26:17 2026,2.802631378
56,21.96181297,,2.20E-05,0.00007,0.000189,Tue Apr 14 19:29:53 2026,2.745226622
57,22.45171356,,2.24E-05,0.00007,0.000192,Tue Apr 14 19:32:02 2026,2.806464195
58,22.34374428,,2.28E-05,0.000069,0.000195,Tue Apr 14 19:34:14 2026,2.792968035
59,22.68705368,,2.32E-05,0.000068,0.000198,Tue Apr 14 19:38:33 2026,2.83588171
60,22.40319633,,2.36E-05,0.000068,0.000202,Tue Apr 14 19:40:44 2026,2.800399542
61,21.93213463,,2.40E-05,0.000068,0.000205,Tue Apr 14 19:42:54 2026,2.741516829
62,21.98103333,,2.44E-05,0.000067,0.000209,Tue Apr 14 19:45:04 2026,2.747629166
63,21.98131371,,2.48E-05,0.000067,0.000214,Tue Apr 14 19:48:47 2026,2.747664213
64,21.14445496,,2.52E-05,0.000067,0.000219,Tue Apr 14 19:52:39 2026,2.64305687
65,22.42315292,,2.56E-05,0.000066,0.000225,Tue Apr 14 19:54:48 2026,2.802894115
66,22.3375206,,2.60E-05,0.000067,0.000231,Tue Apr 14 19:56:58 2026,2.792190075
67,21.04061317,,2.64E-05,0.000068,0.000236,Tue Apr 14 20:00:29 2026,2.630076647
68,22.36608887,,2.68E-05,0.000069,0.000243,Tue Apr 14 20:04:55 2026,2.795761108
