step,train_loss,eval_loss,lr,gate_fft,gate_mem,time,train_loss
1,42.4803772,,0,0,0,Tue Apr 14 18:37:22 2026,5.31004715
2,43.04217529,,0,0,0,Tue Apr 14 18:37:32 2026,5.380271912
3,43.114048,,0,0,0,Tue Apr 14 18:37:43 2026,5.389256001
4,42.54323578,,4.00E-07,0,0,Tue Apr 14 18:37:53 2026,5.317904472
5,42.55735397,,4.00E-07,0,0,Tue Apr 14 18:38:04 2026,5.319669247
6,42.86712265,,8.00E-07,0,0,Tue Apr 14 18:38:14 2026,5.358390331
7,42.82478333,,1.20E-06,0,0.000001,Tue Apr 14 18:38:25 2026,5.353097916
8,42.93166351,,1.60E-06,0,0.000001,Tue Apr 14 18:38:35 2026,5.366457939
1,42.93416214,,0,0,0,Tue Apr 14 18:44:02 2026,5.366770267
2,42.89234543,,4.00E-07,0,0,Tue Apr 14 18:44:21 2026,5.361543179
3,43.0788269,,8.00E-07,0,0,Tue Apr 14 18:44:41 2026,5.384853363
4,43.36798859,,1.20E-06,-0.000001,0,Tue Apr 14 18:45:01 2026,5.420998573
5,43.50740051,,1.60E-06,-0.000001,0,Tue Apr 14 18:45:20 2026,5.438425064
6,43.43442535,,2.00E-06,-0.000002,0,Tue Apr 14 18:45:40 2026,5.429303169
7,43.20648956,,2.40E-06,-0.000003,0,Tue Apr 14 18:46:00 2026,5.400811195
8,42.74913406,,2.80E-06,-0.000004,0,Tue Apr 14 18:48:06 2026,5.343641758
9,43.36050034,,3.20E-06,-0.000005,-0.000001,Tue Apr 14 18:48:26 2026,5.420062542
10,43.55648422,,3.60E-06,-0.000006,-0.000001,Tue Apr 14 18:48:45 2026,5.444560528
11,43.23416901,,4.00E-06,-0.000008,-0.000001,Tue Apr 14 18:49:05 2026,5.404271126
12,42.91319656,,4.40E-06,-0.00001,-0.000001,Tue Apr 14 18:49:25 2026,5.36414957
13,43.12042999,,4.80E-06,-0.000011,-0.000001,Tue Apr 14 18:49:45 2026,5.390053749
14,42.93711853,,5.20E-06,-0.000013,-0.000001,Tue Apr 14 18:50:05 2026,5.367139816
15,43.48602676,,5.60E-06,-0.000015,-0.000001,Tue Apr 14 18:50:25 2026,5.435753345
16,42.5188942,,6.00E-06,-0.000017,-0.000001,Tue Apr 14 18:50:45 2026,5.314861774
17,42.97071838,,6.40E-06,-0.000019,-0.000001,Tue Apr 14 18:51:04 2026,5.371339798
18,42.86283493,,6.80E-06,-0.000021,-0.000001,Tue Apr 14 18:51:24 2026,5.357854366
19,43.34571838,,7.20E-06,-0.000024,-0.000001,Tue Apr 14 18:52:03 2026,5.418214798
20,43.07151794,,7.60E-06,-0.000026,-0.000001,Tue Apr 14 18:52:23 2026,5.383939743
21,42.59393311,,8.00E-06,-0.000028,-0.000001,Tue Apr 14 18:52:43 2026,5.324241638
22,43.17348099,,8.40E-06,-0.000031,0,Tue Apr 14 18:53:03 2026,5.396685123
23,43.27879333,,8.80E-06,-0.000033,0,Tue Apr 14 18:53:24 2026,5.409849167
24,43.52260208,,9.20E-06,-0.000036,0.000001,Tue Apr 14 18:53:47 2026,5.44032526
25,42.81758499,,9.60E-06,-0.000038,0.000001,Tue Apr 14 18:54:08 2026,5.352198124
26,43.0794754,,1.00E-05,-0.000041,0.000002,Tue Apr 14 18:54:28 2026,5.384934425
27,43.20095062,,1.04E-05,-0.000043,0.000003,Tue Apr 14 18:54:48 2026,5.400118828
28,43.18897247,,1.08E-05,-0.000046,0.000005,Tue Apr 14 18:55:09 2026,5.398621559
29,43.58937073,,1.12E-05,-0.000048,0.000006,Tue Apr 14 18:56:15 2026,5.448671341
30,42.86357117,,1.16E-05,-0.000051,0.000008,Tue Apr 14 18:57:29 2026,5.357946396
31,42.84823227,,1.20E-05,-0.000053,0.00001,Tue Apr 14 18:57:49 2026,5.356029034
32,43.04740906,,1.24E-05,-0.000055,0.000012,Tue Apr 14 18:58:09 2026,5.380926132
33,42.12231827,,1.28E-05,-0.000057,0.000014,Tue Apr 14 18:58:30 2026,5.265289783
34,43.43707275,,1.32E-05,-0.000059,0.000017,Tue Apr 14 18:58:49 2026,5.429634094
35,43.06295776,,1.36E-05,-0.000062,0.00002,Tue Apr 14 18:59:10 2026,5.38286972
36,43.0330162,,1.40E-05,-0.000064,0.000022,Tue Apr 14 19:00:26 2026,5.379127026
37,43.99245071,,1.44E-05,-0.000066,0.000025,Tue Apr 14 19:00:57 2026,5.499056339
38,43.20485306,,1.48E-05,-0.000068,0.000028,Tue Apr 14 19:01:17 2026,5.400606632
39,42.8733139,,1.52E-05,-0.000069,0.000032,Tue Apr 14 19:01:37 2026,5.359164238
40,43.12487793,,1.56E-05,-0.000071,0.000036,Tue Apr 14 19:01:58 2026,5.390609741
41,42.90514755,,1.60E-05,-0.000072,0.00004,Tue Apr 14 19:02:18 2026,5.363143444
